,Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you have previous employers?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Would you have been willing to discuss a mental health issue with your previous co-workers?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,Did you feel that your previous employers took mental health as seriously as physical health?,Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up a mental health issue with a potential employer in an interview?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,Which of the following best describes your work position?,Do you work remotely?
249,0,500-1000,1.0,Yes,Yes,No,Yes,I don't know,I don't know,Maybe,No,Maybe,Maybe,I don't know,No,1,Some did,I was aware of some,None did,Some did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,Maybe,Maybe,Maybe,Somewhat open,Maybe/Not sure,Yes,Yes,Yes,Yes,1,Often,Often,30.0,male,Other,Never
250,0,More than 1000,1.0,Yes,Yes,Yes,Yes,Yes,Very difficult,Maybe,Maybe,No,Maybe,No,No,1,Some did,I was aware of some,Some did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers",Some of my previous employers,None did,None of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,Yes,Yes,Yes,Yes,1,Rarely,Often,33.0,female,Dev Evangelist/Advocate,Sometimes
251,0,500-1000,1.0,Yes,I am not sure,No,Yes,I don't know,I don't know,Maybe,No,No,No,I don't know,Yes,1,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,"Yes, all of them",Yes,No,"Yes, it has","Yes, they do",Not open at all,"Yes, I experienced",I don't know,Yes,Yes,Yes,1,Never,Sometimes,45.0,female,HR,Always
252,0,26-100,1.0,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,No,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,No,Maybe,"No, I don't think they would",Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,1,Rarely,Often,30.0,female,Supervisor/Team Lead,Sometimes
253,0,26-100,1.0,Yes,Yes,Yes,No,Yes,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,No,Yes,1,"Yes, they all did",I was aware of some,None did,None did,Sometimes,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,Some of them,Maybe,No,"Yes, it has","Yes, they do",Somewhat not open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Rarely,Often,30.0,male,Supervisor/Team Lead,Sometimes
254,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Some did,I was aware of some,None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,No,No,Maybe,"No, I don't think they would",Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,1,Sometimes,Often,29.0,male,DevOps/SysAdmin,Always
255,0,1-5,0.0,No,Yes,Yes,No,No,Somewhat easy,No,No,Yes,Yes,No,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,Maybe,"Yes, I think it would","No, I don't think they would",Very open,No,Yes,No,No,No,0,Never,Sometimes,36.0,male,DevOps/SysAdmin,Sometimes
256,0,26-100,1.0,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Maybe,Maybe,Yes,Yes,1,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,Maybe,Maybe,Maybe,Somewhat open,"Yes, I experienced",Yes,Yes,Maybe,Yes,1,Rarely,Often,28.0,male,Front-end Developer,Never
257,0,26-100,1.0,Yes,I am not sure,I don't know,I don't know,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,No,1,Some did,"No, I only became aware later",Some did,None did,"Yes, always",Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,None did,None of them,No,No,Maybe,Maybe,Somewhat open,No,No,Yes,Yes,Yes,1,Sometimes,Often,36.0,male,Front-end Developer,Sometimes
258,0,500-1000,1.0,Yes,Yes,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No,Maybe,No,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,I don't know,I don't know,Some of them,Yes,No,Maybe,Maybe,Somewhat not open,Maybe/Not sure,Yes,Maybe,Maybe,Yes,1,Sometimes,Often,37.0,female,Executive Leadership,Sometimes
259,0,26-100,1.0,Yes,I am not sure,No,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,1,"Yes, they all did","Yes, I was aware of all of them",Some did,Some did,Sometimes,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,"No, I don't think it would","No, I don't think they would",Very open,No,Yes,Yes,Maybe,No,1,Never,Often,29.0,male,Front-end Developer,Sometimes
260,0,26-100,1.0,Yes,Yes,I don't know,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,1,Some did,"No, I only became aware later",Some did,Some did,Sometimes,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,No,"No, I don't think it would","No, I don't think they would",Somewhat open,Maybe/Not sure,Yes,Yes,Yes,Yes,1,Rarely,Often,25.0,male,DevOps/SysAdmin,Sometimes
261,0,26-100,1.0,Yes,No,Yes,Yes,Yes,Neither easy nor difficult,No,No,Maybe,Yes,No,No,1,I don't know,N/A (not currently aware),Some did,Some did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",No,No,No,No,0,Not applicable to me,Not applicable to me,34.0,female,Supervisor/Team Lead,Sometimes
262,0,More than 1000,0.0,Yes,Yes,Yes,Yes,Yes,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,Yes,Yes,1,"Yes, they all did",I was aware of some,Some did,Some did,I don't know,I don't know,Some of them,Some of my previous employers,I don't know,None did,Some of them,Maybe,No,"Yes, I think it would",Maybe,Very open,"Yes, I observed",No,No,No,No,1,Sometimes,Not applicable to me,37.0,male,Support,Sometimes
263,0,More than 1000,1.0,Yes,Yes,No,Yes,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Yes,I don't know,No,1,"Yes, they all did",I was aware of some,None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,No,Maybe,Maybe,Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Never,Often,40.0,female,Executive Leadership,Sometimes
264,0,100-500,1.0,Yes,Yes,Yes,Yes,I don't know,Somewhat difficult,Yes,Maybe,Maybe,No,No,No,1,"No, none did",N/A (not currently aware),None did,None did,No,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Very open,Maybe/Not sure,No,Maybe,Maybe,No,0,Not applicable to me,Sometimes,32.0,male,DevOps/SysAdmin,Always
265,0,26-100,1.0,I don't know,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,Some of them,Maybe,No,"Yes, I think it would",Maybe,Somewhat open,Maybe/Not sure,No,Maybe,No,No,0,Not applicable to me,Not applicable to me,38.0,male,Back-end Developer,Never
266,0,26-100,1.0,Yes,I am not sure,Yes,I don't know,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,No,No,1,Some did,I was aware of some,None did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,No,Maybe,"No, I don't think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Sometimes,Often,31.0,female,Front-end Developer,Sometimes
267,0,26-100,1.0,Yes,Yes,I don't know,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,1,Some did,"No, I only became aware later",None did,Some did,"Yes, always",Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,Some did,Some of them,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,Yes,No,No,No,1,Sometimes,Often,28.0,female,Other,Sometimes
268,0,100-500,1.0,No,No,No,No,I don't know,Very difficult,Yes,Maybe,No,No,No,Yes,1,Some did,I was aware of some,None did,Some did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,"Yes, all of them",Yes,No,"Yes, it has","No, I don't think they would",Somewhat not open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Often,Often,27.0,female,Other,Sometimes
269,0,26-100,1.0,Yes,Yes,No,Yes,Yes,Somewhat easy,Maybe,No,Maybe,Maybe,I don't know,No,1,Some did,I was aware of some,None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,"No, at none of my previous employers",None did,Some of them,Maybe,No,Maybe,Maybe,Somewhat not open,"Yes, I observed",No,Yes,Yes,Yes,1,Sometimes,Often,28.0,female,Front-end Developer,Sometimes
270,0,6-25,1.0,I don't know,Yes,No,No,I don't know,Somewhat easy,No,No,No,Maybe,Yes,Yes,1,Some did,"Yes, I was aware of all of them",None did,None did,"Yes, always",Some of them,None of them,"No, at none of my previous employers",Some of my previous employers,Some did,None of them,No,Maybe,Maybe,"No, I don't think they would",Somewhat not open,No,Yes,Yes,Yes,Yes,1,Never,Often,26.0,male,Front-end Developer,Always
271,0,26-100,1.0,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,1,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Yes,Maybe,"No, I don't think they would",Very open,No,Yes,Yes,No,No,1,Rarely,Often,40.0,male,Support,Sometimes
272,0,More than 1000,1.0,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,1,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,"Yes, I experienced",No,Yes,Yes,Yes,1,Sometimes,Often,42.0,male,Dev Evangelist/Advocate,Sometimes
273,0,26-100,1.0,Yes,I am not sure,I don't know,Yes,I don't know,Very easy,No,No,Maybe,Maybe,Yes,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,No,Maybe,"No, I don't think they would",Neutral,No,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,36.0,male,Front-end Developer,Never
274,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,"No, at none of my previous employers",Some did,None of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Very open,Maybe/Not sure,Yes,Maybe,Maybe,No,0,Sometimes,Sometimes,44.0,male,Front-end Developer,Never
275,0,500-1000,1.0,Yes,Yes,No,No,I don't know,Very difficult,Maybe,Maybe,Maybe,Maybe,No,No,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,No,Maybe,Maybe,Somewhat open,Maybe/Not sure,I don't know,Maybe,Yes,Yes,1,Sometimes,Often,24.0,male,Back-end Developer,Never
276,0,100-500,0.0,I don't know,I am not sure,No,Yes,I don't know,Very difficult,Yes,Yes,No,Maybe,No,Yes,1,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, they all did","Yes, always",I don't know,None of them,"No, at none of my previous employers","Yes, at all of my previous employers",None did,None of them,Yes,Maybe,"Yes, I think it would","Yes, I think they would",Not open at all,Maybe/Not sure,I don't know,Maybe,Maybe,No,1,Not applicable to me,Sometimes,44.0,male,Supervisor/Team Lead,Never
277,0,More than 1000,1.0,Yes,I am not sure,I don't know,I don't know,I don't know,Neither easy nor difficult,No,No,Yes,No,I don't know,No,1,Some did,"Yes, I was aware of all of them",Some did,Some did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat open,No,No,No,Yes,Yes,1,Never,Sometimes,31.0,male,Dev Evangelist/Advocate,Always
278,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"No, none did","No, I only became aware later",None did,None did,I don't know,Some of them,None of them,"No, at none of my previous employers",Some of my previous employers,Some did,Some of them,Yes,No,"Yes, it has","Yes, they do",Very open,"Yes, I experienced",Yes,Yes,Maybe,No,1,Sometimes,Often,49.0,male,One-person shop,Sometimes
279,0,26-100,1.0,Yes,No,Yes,I don't know,Yes,Very difficult,Maybe,Maybe,Maybe,No,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Maybe,Maybe,Somewhat open,Maybe/Not sure,Yes,No,No,No,0,Not applicable to me,Not applicable to me,27.0,female,Back-end Developer,Sometimes
280,0,More than 1000,1.0,Yes,I am not sure,I don't know,Yes,I don't know,Somewhat easy,No,No,No,Maybe,I don't know,No,1,Some did,I was aware of some,None did,None did,No,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,No,"Yes, I think it would",Maybe,Not open at all,"Yes, I observed",Yes,Maybe,No,No,1,Not applicable to me,Sometimes,27.0,male,Supervisor/Team Lead,Always
281,0,100-500,1.0,Yes,Yes,No,No,I don't know,I don't know,No,No,Maybe,Maybe,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,"No, at none of my previous employers",I don't know,None of them,No,No,"No, I don't think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),No,No,Yes,No,Yes,1,Not applicable to me,Not applicable to me,28.0,male,Supervisor/Team Lead,Sometimes
282,0,6-25,1.0,Yes,Yes,No,No,I don't know,Very difficult,Yes,Maybe,No,No,No,No,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,"Yes, all of them",None of them,Some of my previous employers,"No, at none of my previous employers",Some did,Some of them,No,No,"Yes, it has","Yes, I think they would",Somewhat open,No,Yes,Yes,Maybe,Yes,1,Rarely,Sometimes,20.0,female,Back-end Developer,Never
283,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"Yes, they all did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Maybe,Maybe,Somewhat open,unknown,Yes,No,No,No,0,Not applicable to me,Not applicable to me,41.0,male,Back-end Developer,Always
284,0,100-500,0.0,No,unknown,No,Yes,I don't know,Neither easy nor difficult,Yes,No,Maybe,Maybe,I don't know,No,1,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,Some of them,No,No,Maybe,Maybe,Somewhat not open,"Yes, I experienced",I don't know,Yes,Yes,Yes,1,Sometimes,Not applicable to me,38.0,male,Back-end Developer,Sometimes
285,0,100-500,1.0,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Yes,Maybe,No,No,I don't know,No,1,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,Some of them,No,No,Maybe,"Yes, I think they would",Somewhat not open,Maybe/Not sure,Yes,Yes,Yes,No,0,Sometimes,Sometimes,29.0,male,Other,Never
286,0,100-500,1.0,Yes,No,No,No,I don't know,Very easy,Maybe,No,Maybe,Maybe,No,Yes,1,"Yes, they all did","Yes, I was aware of all of them",None did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,No,"Yes, it has",Maybe,Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Sometimes,Often,44.0,female,Supervisor/Team Lead,Always
287,0,500-1000,1.0,I don't know,I am not sure,No,Yes,I don't know,Neither easy nor difficult,No,No,No,Yes,Yes,No,1,I don't know,N/A (not currently aware),I don't know,"Yes, they all did",I don't know,None of them,None of them,"No, at none of my previous employers","Yes, at all of my previous employers",I don't know,None of them,Yes,Yes,Maybe,Maybe,Somewhat open,No,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,31.0,male,Back-end Developer,Sometimes
288,0,6-25,1.0,No,No,No,No,No,Somewhat difficult,Yes,Maybe,No,No,No,No,1,"No, none did",N/A (not currently aware),None did,None did,No,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,1,Rarely,Often,54.0,male,Back-end Developer,Sometimes
289,0,500-1000,1.0,I don't know,No,No,No,I don't know,Somewhat easy,No,No,No,Maybe,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,None of them,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,Maybe,Maybe,Maybe,Neutral,No,Yes,No,No,No,0,Not applicable to me,Not applicable to me,33.0,male,Back-end Developer,Sometimes
290,0,6-25,1.0,No,No,No,No,No,I don't know,Maybe,Maybe,No,No,No,Yes,1,I don't know,N/A (not currently aware),"Yes, they all did",None did,I don't know,None of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers","Yes, they all did",None of them,Maybe,Maybe,"Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),"Yes, I observed",No,No,No,No,0,Not applicable to me,Not applicable to me,29.0,male,Back-end Developer,Never
